2019-01-04_19:08:51,017 ------- Program started
2019-01-04_19:09:18,265 authentication failure for that user ksfsf
2019-01-04_19:09:18,265 -------- End of program
2019-01-04_19:09:38,711 ------- Program started
2019-01-04_19:09:49,788 authentication failure for that user admin
2019-01-04_19:09:49,788 -------- End of program
2019-01-04_19:09:59,478 ------- Program started
2019-01-04_19:10:10,275 authentication failure for that user dbuser
2019-01-04_19:10:10,275 -------- End of program
2019-01-04_19:10:19,220 ------- Program started
2019-01-04_19:10:28,415 authentication failure for that user vgjj
2019-01-04_19:10:28,416 -------- End of program
2019-01-04_19:15:14,715 ------- Program started
2019-01-04_19:15:24,340 authentication failure for that user dbuser
2019-01-04_19:15:24,340 -------- End of program
2019-01-04_19:16:00,405 ------- Program started
2019-01-04_19:16:07,803 authentication failure for that user dbuser
2019-01-04_19:16:07,803 -------- End of program
2019-01-05_02:30:00,879 ------- Program started
2019-01-05_02:30:09,493 authentication failure for that user admin
2019-01-05_02:30:09,500 -------- End of program
2019-01-05_02:30:19,816 ------- Program started
2019-01-05_02:30:29,243 user dbuserauthenticated succesfully
2019-01-05_02:30:29,259 -------- End of program
2019-01-05_03:09:40,035 ------- Program started
2019-01-05_03:09:48,587 user dbuserauthenticated succesfully
2019-01-05_03:09:48,961 -------- End of program
2019-01-05_03:56:15,054 ------- Program started
2019-01-05_03:56:22,905 user dbuserauthenticated succesfully
2019-01-05_03:56:23,420 -------- End of program
2019-01-05_03:58:16,220 ------- Program started
2019-01-05_03:58:24,229 user dbuserauthenticated succesfully
2019-01-05_03:58:24,623 -------- End of program
2019-01-05_04:07:20,791 ------- Program started
2019-01-05_04:07:27,658 user dbuserauthenticated succesfully
2019-01-05_04:07:27,918 -------- End of program
2019-01-05_04:11:23,285 ------- Program started
2019-01-05_04:11:27,188 authentication failure for that user afqe
2019-01-05_04:11:27,188 -------- End of program
2019-01-05_04:12:02,121 ------- Program started
2019-01-05_04:12:05,276 authentication failure for that user afads
2019-01-05_04:12:05,276 -------- End of program
2019-01-05_04:53:32,469 ------- Program started
2019-01-05_04:53:36,339 authentication failure for that user adsfad
2019-01-05_04:53:36,339 -------- End of program
2019-01-05_04:54:07,891 ------- Program started
2019-01-05_04:54:10,840 authentication failure for that user asdfas
2019-01-05_04:54:10,840 -------- End of program
2019-01-05_04:54:23,057 ------- Program started
2019-01-05_04:54:29,182 user dbuserauthenticated succesfully
2019-01-05_04:55:49,947 ------- Program started
2019-01-05_04:55:56,949 user dbuserauthenticated succesfully
2019-01-05_04:55:57,209 -------- End of program
2019-01-05_05:18:14,046 ------- Program started
2019-01-05_05:18:19,722 user dbuserauthenticated succesfully
2019-01-05_05:18:20,000 -------- End of program
2019-01-05_17:45:57,431 ------- Program started
2019-01-05_17:46:04,881 user dbuserauthenticated succesfully
2019-01-05_17:46:05,166 -------- End of program
2019-01-05_18:22:53,200 ------- Program started
2019-01-05_18:22:56,536 authentication failure for that user 
2019-01-05_18:22:56,536 -------- End of program
2019-01-06_03:31:53,532 ------- Program started
